locus_tag	ftype	length_bp	gene	EC_number	COG	product
PBJFNHEO_00001	CDS	462	hmpT		COG4720	Thiamine precursor transporter HmpT
PBJFNHEO_00002	CDS	774	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
PBJFNHEO_00003	CDS	750	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
PBJFNHEO_00004	CDS	1152				hypothetical protein
PBJFNHEO_00005	CDS	630				hypothetical protein
PBJFNHEO_00006	CDS	339				hypothetical protein
PBJFNHEO_00007	CDS	672	cmk	2.7.4.25	COG0283	Cytidylate kinase
PBJFNHEO_00008	CDS	477				hypothetical protein
PBJFNHEO_00009	CDS	213				hypothetical protein
PBJFNHEO_00010	CDS	984	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
PBJFNHEO_00011	CDS	1020	lnpD	5.1.3.2		UDP-glucose 4-epimerase
PBJFNHEO_00012	CDS	1104	thiO	1.4.3.19		Glycine oxidase
PBJFNHEO_00013	CDS	798			COG0327	GTP cyclohydrolase 1 type 2 
PBJFNHEO_00014	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
PBJFNHEO_00015	CDS	2337	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
PBJFNHEO_00016	CDS	750	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
PBJFNHEO_00017	CDS	615				hypothetical protein
PBJFNHEO_00018	CDS	270	rpsO		COG0184	30S ribosomal protein S15
PBJFNHEO_00019	CDS	630				hypothetical protein
PBJFNHEO_00020	CDS	201				hypothetical protein
PBJFNHEO_00021	CDS	324				hypothetical protein
PBJFNHEO_00022	CDS	1944	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
PBJFNHEO_00023	CDS	975	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
PBJFNHEO_00024	CDS	678	graR		COG0745	Response regulator protein GraR
PBJFNHEO_00025	CDS	1074				hypothetical protein
PBJFNHEO_00026	CDS	303				hypothetical protein
PBJFNHEO_00027	CDS	438	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
PBJFNHEO_00028	CDS	843				hypothetical protein
PBJFNHEO_00029	CDS	651	dtxR			Diphtheria toxin repressor
PBJFNHEO_00030	CDS	519				hypothetical protein
PBJFNHEO_00031	CDS	279				hypothetical protein
PBJFNHEO_00032	CDS	114				hypothetical protein
PBJFNHEO_00033	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
PBJFNHEO_00034	CDS	2223	relA			Bifunctional (p)ppGpp synthase/hydrolase RelA
PBJFNHEO_00035	CDS	630		3.-.-.-		putative metallo-hydrolase
PBJFNHEO_00036	CDS	1893	pepO	3.4.24.-	COG3590	Neutral endopeptidase
PBJFNHEO_00037	CDS	723	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
PBJFNHEO_00038	CDS	849	mntB			Manganese transport system membrane protein MntB
PBJFNHEO_00039	CDS	930	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
PBJFNHEO_00040	CDS	492	tpx	1.11.1.15	COG2077	Thiol peroxidase
PBJFNHEO_00041	CDS	2709				hypothetical protein
PBJFNHEO_00042	CDS	702			COG1136	putative ABC transporter ATP-binding protein
PBJFNHEO_00043	CDS	2412				hypothetical protein
PBJFNHEO_00044	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
PBJFNHEO_00045	CDS	381				hypothetical protein
PBJFNHEO_00046	CDS	2793	ileS	6.1.1.5		Isoleucine--tRNA ligase
PBJFNHEO_00047	CDS	789	divIVA		COG3599	Cell division protein DivIVA
PBJFNHEO_00048	CDS	786				hypothetical protein
PBJFNHEO_00049	CDS	264				hypothetical protein
PBJFNHEO_00050	CDS	540	sepF		COG1799	Cell division protein SepF
PBJFNHEO_00051	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
PBJFNHEO_00052	CDS	1260	ftsZ		COG0206	Cell division protein FtsZ
PBJFNHEO_00053	CDS	1374	ftsA		COG0849	Cell division protein FtsA
PBJFNHEO_00054	CDS	705				hypothetical protein
PBJFNHEO_00055	CDS	576				hypothetical protein
PBJFNHEO_00056	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PBJFNHEO_00057	CDS	1044	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
PBJFNHEO_00058	CDS	597	recR		COG0353	Recombination protein RecR
PBJFNHEO_00059	CDS	2043	penA		COG0768	Penicillin-binding protein 2B
PBJFNHEO_00060	CDS	852	ybbH		COG1737	putative HTH-type transcriptional regulator YbbH
PBJFNHEO_00061	CDS	885	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
PBJFNHEO_00062	CDS	918	nanA_1	4.1.3.3	COG0329	N-acetylneuraminate lyase
PBJFNHEO_00063	CDS	645				hypothetical protein
PBJFNHEO_00064	CDS	345				hypothetical protein
PBJFNHEO_00065	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
