locus_tag	ftype	length_bp	gene	EC_number	COG	product
KAPMHJKK_00001	CDS	522	tarF	2.7.8.45	COG1887	Teichoic acid glycerol-phosphate transferase
KAPMHJKK_00002	CDS	1464				hypothetical protein
KAPMHJKK_00003	CDS	849				hypothetical protein
KAPMHJKK_00004	CDS	957	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
KAPMHJKK_00005	CDS	1020	epsJ_1	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
KAPMHJKK_00006	CDS	1173				hypothetical protein
KAPMHJKK_00007	CDS	504				hypothetical protein
KAPMHJKK_00008	CDS	450				hypothetical protein
KAPMHJKK_00009	CDS	1368				hypothetical protein
KAPMHJKK_00010	CDS	684	cpsD	2.7.10.2		Tyrosine-protein kinase CpsD
KAPMHJKK_00011	CDS	693	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
KAPMHJKK_00012	CDS	732	cpsB	3.1.3.48		Tyrosine-protein phosphatase CpsB
KAPMHJKK_00013	CDS	1446	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
KAPMHJKK_00014	CDS	339				IS630 family transposase IS630-Spn1
KAPMHJKK_00015	CDS	1608	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
KAPMHJKK_00016	CDS	1485				hypothetical protein
KAPMHJKK_00017	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
KAPMHJKK_00018	CDS	351				hypothetical protein
KAPMHJKK_00019	CDS	2106	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
KAPMHJKK_00020	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
KAPMHJKK_00021	CDS	2253	pbpX		COG0768	Penicillin-binding protein 2X
KAPMHJKK_00022	CDS	318	ftsL			Cell division protein FtsL
KAPMHJKK_00023	CDS	951	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
KAPMHJKK_00024	CDS	195				hypothetical protein
KAPMHJKK_00025	CDS	543				hypothetical protein
KAPMHJKK_00026	CDS	336				hypothetical protein
KAPMHJKK_00027	CDS	579				hypothetical protein
KAPMHJKK_00028	CDS	1002	kdgR		COG1609	HTH-type transcriptional regulator KdgR
KAPMHJKK_00029	CDS	1902				hypothetical protein
KAPMHJKK_00030	CDS	294				hypothetical protein
KAPMHJKK_00031	CDS	819	manZ_1		COG3716	PTS system mannose-specific EIID component
KAPMHJKK_00032	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
KAPMHJKK_00033	CDS	492	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
