locus_tag	ftype	length_bp	gene	EC_number	COG	product
BANCEECM_00001	CDS	243				hypothetical protein
BANCEECM_00002	CDS	1083	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
BANCEECM_00003	CDS	783	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
BANCEECM_00004	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
BANCEECM_00005	CDS	1317	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
BANCEECM_00006	CDS	1227	yhjX			putative MFS-type transporter YhjX
BANCEECM_00007	CDS	1575	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
BANCEECM_00008	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
BANCEECM_00009	CDS	576				hypothetical protein
BANCEECM_00010	tRNA	86				tRNA-Leu(aag)
BANCEECM_00011	CDS	1131	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
BANCEECM_00012	CDS	759	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
BANCEECM_00013	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
BANCEECM_00014	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
BANCEECM_00015	CDS	678	dnaD		COG3935	DNA replication protein DnaD
BANCEECM_00016	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
BANCEECM_00017	CDS	1506				hypothetical protein
BANCEECM_00018	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
BANCEECM_00019	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
BANCEECM_00020	CDS	171				hypothetical protein
BANCEECM_00021	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
BANCEECM_00022	CDS	588	engB		COG0218	putative GTP-binding protein EngB
BANCEECM_00023	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
BANCEECM_00024	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
BANCEECM_00025	CDS	978			COG0391	Putative gluconeogenesis factor
BANCEECM_00026	CDS	912	whiA		COG1481	putative cell division protein WhiA
BANCEECM_00027	CDS	1128	xerC_1			Tyrosine recombinase XerC
BANCEECM_00028	CDS	381				hypothetical protein
BANCEECM_00029	CDS	189				hypothetical protein
BANCEECM_00030	CDS	1095				hypothetical protein
BANCEECM_00031	CDS	354				hypothetical protein
BANCEECM_00032	CDS	201				hypothetical protein
BANCEECM_00033	CDS	240				hypothetical protein
BANCEECM_00034	CDS	192				hypothetical protein
BANCEECM_00035	CDS	207				hypothetical protein
BANCEECM_00036	CDS	192				hypothetical protein
BANCEECM_00037	CDS	273				hypothetical protein
BANCEECM_00038	CDS	195				hypothetical protein
BANCEECM_00039	CDS	192				hypothetical protein
BANCEECM_00040	CDS	342				hypothetical protein
BANCEECM_00041	CDS	231				hypothetical protein
BANCEECM_00042	CDS	765				hypothetical protein
BANCEECM_00043	CDS	483				hypothetical protein
BANCEECM_00044	CDS	360				hypothetical protein
BANCEECM_00045	CDS	486				hypothetical protein
BANCEECM_00046	CDS	1194				hypothetical protein
BANCEECM_00047	CDS	318				hypothetical protein
BANCEECM_00048	CDS	777				hypothetical protein
BANCEECM_00049	CDS	504				hypothetical protein
BANCEECM_00050	CDS	822				hypothetical protein
BANCEECM_00051	CDS	1344				hypothetical protein
BANCEECM_00052	CDS	153				hypothetical protein
BANCEECM_00053	CDS	339				hypothetical protein
BANCEECM_00054	CDS	315				hypothetical protein
BANCEECM_00055	CDS	528				hypothetical protein
BANCEECM_00056	CDS	318				hypothetical protein
BANCEECM_00057	CDS	423				hypothetical protein
BANCEECM_00058	CDS	513				hypothetical protein
BANCEECM_00059	CDS	1299				hypothetical protein
BANCEECM_00060	CDS	1470				hypothetical protein
BANCEECM_00061	CDS	1584				hypothetical protein
BANCEECM_00062	CDS	210				hypothetical protein
BANCEECM_00063	CDS	414				hypothetical protein
BANCEECM_00064	CDS	174				hypothetical protein
BANCEECM_00065	CDS	111				hypothetical protein
BANCEECM_00066	CDS	525				hypothetical protein
BANCEECM_00067	CDS	1026				hypothetical protein
BANCEECM_00068	CDS	189				hypothetical protein
BANCEECM_00069	CDS	312				hypothetical protein
BANCEECM_00070	CDS	339				hypothetical protein
BANCEECM_00071	CDS	516				hypothetical protein
BANCEECM_00072	CDS	369				hypothetical protein
BANCEECM_00073	CDS	414				hypothetical protein
BANCEECM_00074	CDS	381				hypothetical protein
BANCEECM_00075	CDS	351				hypothetical protein
BANCEECM_00076	CDS	3594				hypothetical protein
BANCEECM_00077	CDS	351				hypothetical protein
BANCEECM_00078	CDS	6444				hypothetical protein
BANCEECM_00079	CDS	204				hypothetical protein
BANCEECM_00080	CDS	351				hypothetical protein
BANCEECM_00081	CDS	300				hypothetical protein
BANCEECM_00082	CDS	336				hypothetical protein
BANCEECM_00083	CDS	957	lytA_1	3.5.1.28		Autolysin
BANCEECM_00084	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
BANCEECM_00085	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
BANCEECM_00086	CDS	780				hypothetical protein
BANCEECM_00087	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
BANCEECM_00088	CDS	375				hypothetical protein
BANCEECM_00089	CDS	849			COG1307	DegV domain-containing protein
BANCEECM_00090	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
BANCEECM_00091	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
BANCEECM_00092	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
BANCEECM_00093	CDS	1185	fieF			Ferrous-iron efflux pump FieF
BANCEECM_00094	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
BANCEECM_00095	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
BANCEECM_00096	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
