locus_tag	ftype	length_bp	gene	EC_number	COG	product
CIFCBFKC_00001	CDS	147				hypothetical protein
CIFCBFKC_00002	CDS	1776	pox5	1.2.3.3	COG0028	Pyruvate oxidase
CIFCBFKC_00003	CDS	2244	pacS	7.2.2.8		putative copper-transporting ATPase PacS
CIFCBFKC_00004	CDS	372				hypothetical protein
CIFCBFKC_00005	CDS	396	copY			Transcriptional repressor CopY
CIFCBFKC_00006	CDS	807	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
CIFCBFKC_00007	CDS	633	thiE_1	2.5.1.3	COG0352	Thiamine-phosphate synthase
CIFCBFKC_00008	CDS	804	thiM_1	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
CIFCBFKC_00009	CDS	525				hypothetical protein
CIFCBFKC_00010	CDS	693	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
CIFCBFKC_00011	CDS	651				hypothetical protein
CIFCBFKC_00012	CDS	1386	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
CIFCBFKC_00013	CDS	561	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
CIFCBFKC_00014	CDS	630	thiE_2	2.5.1.3		Thiamine-phosphate synthase
CIFCBFKC_00015	CDS	783	thiM_2	2.7.1.50		Hydroxyethylthiazole kinase
CIFCBFKC_00016	CDS	669	tenA_2	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
CIFCBFKC_00017	CDS	1137	hmo	1.1.3.46		4-hydroxymandelate oxidase
CIFCBFKC_00018	CDS	1491	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
CIFCBFKC_00019	CDS	147				hypothetical protein
CIFCBFKC_00020	CDS	681	glnM_1		COG0765	putative glutamine ABC transporter permease protein GlnM
CIFCBFKC_00021	CDS	381	tcyB		COG0765	L-cystine transport system permease protein TcyB
CIFCBFKC_00022	CDS	507	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
CIFCBFKC_00023	CDS	243				hypothetical protein
CIFCBFKC_00024	CDS	555	glnH_1		COG0834	ABC transporter glutamine-binding protein GlnH
CIFCBFKC_00025	CDS	648	bcrA_1			Bacitracin transport ATP-binding protein BcrA
CIFCBFKC_00026	CDS	705				hypothetical protein
CIFCBFKC_00027	CDS	753				hypothetical protein
CIFCBFKC_00028	CDS	765				hypothetical protein
CIFCBFKC_00029	CDS	351				hypothetical protein
CIFCBFKC_00030	CDS	633	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
CIFCBFKC_00031	CDS	702	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
CIFCBFKC_00032	CDS	1200	divIB		COG1589	Cell division protein DivIB
CIFCBFKC_00033	CDS	1059	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
CIFCBFKC_00034	CDS	1353	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
CIFCBFKC_00035	CDS	642	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
CIFCBFKC_00036	CDS	2022				hypothetical protein
CIFCBFKC_00037	CDS	348				hypothetical protein
CIFCBFKC_00038	CDS	255				hypothetical protein
CIFCBFKC_00039	CDS	1842	typA		COG1217	GTP-binding protein TypA/BipA
CIFCBFKC_00040	CDS	726	rsuA_1	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
CIFCBFKC_00041	CDS	198				hypothetical protein
CIFCBFKC_00042	CDS	381	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
CIFCBFKC_00043	CDS	270				hypothetical protein
CIFCBFKC_00044	CDS	969	hdfR			HTH-type transcriptional regulator HdfR
CIFCBFKC_00045	CDS	756		1.-.-.-		putative oxidoreductase
CIFCBFKC_00046	CDS	930	rnz	3.1.26.11	COG1234	Ribonuclease Z
CIFCBFKC_00047	CDS	624				hypothetical protein
CIFCBFKC_00048	CDS	1239	hflX		COG2262	GTPase HflX
CIFCBFKC_00049	CDS	885	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
CIFCBFKC_00050	CDS	171				hypothetical protein
CIFCBFKC_00051	CDS	840	thyA	2.1.1.45	COG0207	Thymidylate synthase
CIFCBFKC_00052	CDS	960	glcK	2.7.1.2	COG1940	Glucokinase
CIFCBFKC_00053	CDS	849				hypothetical protein
CIFCBFKC_00054	CDS	1527				hypothetical protein
CIFCBFKC_00055	CDS	1722	menF	5.4.4.2		Isochorismate synthase MenF
CIFCBFKC_00056	CDS	5910				hypothetical protein
CIFCBFKC_00057	CDS	564				hypothetical protein
CIFCBFKC_00058	CDS	1692				hypothetical protein
CIFCBFKC_00059	CDS	738			COG4753	putative response regulatory protein
CIFCBFKC_00060	CDS	1113	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
CIFCBFKC_00061	CDS	567	resA_1			Thiol-disulfide oxidoreductase ResA
CIFCBFKC_00062	CDS	711	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
CIFCBFKC_00063	CDS	861				hypothetical protein
CIFCBFKC_00064	CDS	2055				hypothetical protein
CIFCBFKC_00065	CDS	255				hypothetical protein
CIFCBFKC_00066	CDS	558				hypothetical protein
CIFCBFKC_00067	CDS	447				hypothetical protein
CIFCBFKC_00068	CDS	201				hypothetical protein
CIFCBFKC_00069	CDS	360				hypothetical protein
CIFCBFKC_00070	CDS	246				hypothetical protein
CIFCBFKC_00071	CDS	624				hypothetical protein
CIFCBFKC_00072	CDS	6702	lacZ	3.2.1.23		Beta-galactosidase
CIFCBFKC_00073	CDS	1476	gatC_1		COG3775	PTS system galactitol-specific EIIC component
CIFCBFKC_00074	CDS	306				hypothetical protein
CIFCBFKC_00075	CDS	477				hypothetical protein
CIFCBFKC_00076	CDS	6432				hypothetical protein
CIFCBFKC_00077	CDS	282				hypothetical protein
CIFCBFKC_00078	CDS	786				hypothetical protein
CIFCBFKC_00079	CDS	819				hypothetical protein
CIFCBFKC_00080	CDS	993	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
CIFCBFKC_00081	CDS	363				hypothetical protein
CIFCBFKC_00082	CDS	690	rplA			50S ribosomal protein L1
CIFCBFKC_00083	CDS	426	rplK			50S ribosomal protein L11
CIFCBFKC_00084	CDS	192				hypothetical protein
CIFCBFKC_00085	CDS	717	yodJ	3.4.-.-	COG1876	Putative carboxypeptidase YodJ
CIFCBFKC_00086	CDS	471				hypothetical protein
CIFCBFKC_00087	CDS	1038	pepA_1	3.4.11.7	COG1363	Glutamyl aminopeptidase
CIFCBFKC_00088	CDS	1326	brnQ		COG1114	Branched-chain amino acid transport system 2 carrier protein
CIFCBFKC_00089	CDS	153				hypothetical protein
CIFCBFKC_00090	CDS	579				hypothetical protein
