locus_tag	ftype	length_bp	gene	EC_number	COG	product
JNHOEDLP_00001	CDS	228				hypothetical protein
JNHOEDLP_00002	CDS	2898	nanA_1	3.2.1.18	COG4409	Sialidase A
JNHOEDLP_00003	CDS	453				hypothetical protein
JNHOEDLP_00004	CDS	1338				hypothetical protein
JNHOEDLP_00005	CDS	885	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
JNHOEDLP_00006	CDS	834	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
JNHOEDLP_00007	CDS	2094	nanB_1	3.2.1.18	COG4409	Sialidase B
JNHOEDLP_00008	CDS	1104	yjhC_1	1.-.-.-	COG0673	putative oxidoreductase YjhC
JNHOEDLP_00009	CDS	699	nanE_1	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
JNHOEDLP_00010	CDS	1518	ptsG_1	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
JNHOEDLP_00011	CDS	1329				hypothetical protein
JNHOEDLP_00012	CDS	972	lacF_1			Lactose transport system permease protein LacF
JNHOEDLP_00013	CDS	840	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
JNHOEDLP_00014	CDS	453	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
JNHOEDLP_00015	CDS	345				hypothetical protein
JNHOEDLP_00016	CDS	645				hypothetical protein
JNHOEDLP_00017	CDS	918	nanA_2	4.1.3.3	COG0329	N-acetylneuraminate lyase
JNHOEDLP_00018	CDS	885	bglK_1	2.7.1.85	COG1940	Beta-glucoside kinase
JNHOEDLP_00019	CDS	852	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
JNHOEDLP_00020	CDS	2043	penA		COG0768	Penicillin-binding protein 2B
JNHOEDLP_00021	CDS	597	recR		COG0353	Recombination protein RecR
JNHOEDLP_00022	CDS	1044	ddl	6.3.2.4	COG1181	D-alanine--D-alanine ligase
JNHOEDLP_00023	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
JNHOEDLP_00024	CDS	612				hypothetical protein
JNHOEDLP_00025	CDS	705				hypothetical protein
JNHOEDLP_00026	CDS	1374	ftsA		COG0849	Cell division protein FtsA
JNHOEDLP_00027	CDS	1260	ftsZ		COG0206	Cell division protein FtsZ
JNHOEDLP_00028	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
JNHOEDLP_00029	CDS	540	sepF		COG1799	Cell division protein SepF
JNHOEDLP_00030	CDS	264				hypothetical protein
JNHOEDLP_00031	CDS	786				hypothetical protein
JNHOEDLP_00032	CDS	789	divIVA		COG3599	Cell division protein DivIVA
JNHOEDLP_00033	CDS	2793	ileS	6.1.1.5		Isoleucine--tRNA ligase
JNHOEDLP_00034	CDS	381				hypothetical protein
