locus_tag	ftype	length_bp	gene	EC_number	COG	product
HHPGNICE_00001	CDS	243				hypothetical protein
HHPGNICE_00002	CDS	1083	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
HHPGNICE_00003	CDS	783	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
HHPGNICE_00004	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
HHPGNICE_00005	CDS	1317	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
HHPGNICE_00006	CDS	1227	yhjX			putative MFS-type transporter YhjX
HHPGNICE_00007	CDS	1575	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
HHPGNICE_00008	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
HHPGNICE_00009	CDS	576				hypothetical protein
HHPGNICE_00010	tRNA	86				tRNA-Leu(aag)
HHPGNICE_00011	CDS	1131	msmX_1	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
HHPGNICE_00012	CDS	759	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HHPGNICE_00013	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
HHPGNICE_00014	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
HHPGNICE_00015	CDS	678	dnaD		COG3935	DNA replication protein DnaD
HHPGNICE_00016	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
HHPGNICE_00017	CDS	1506				hypothetical protein
HHPGNICE_00018	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
HHPGNICE_00019	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
HHPGNICE_00020	CDS	171				hypothetical protein
HHPGNICE_00021	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
HHPGNICE_00022	CDS	588	engB		COG0218	putative GTP-binding protein EngB
HHPGNICE_00023	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
HHPGNICE_00024	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
HHPGNICE_00025	CDS	978			COG0391	Putative gluconeogenesis factor
HHPGNICE_00026	CDS	912	whiA		COG1481	putative cell division protein WhiA
HHPGNICE_00027	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
HHPGNICE_00028	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
HHPGNICE_00029	CDS	780				hypothetical protein
HHPGNICE_00030	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
HHPGNICE_00031	CDS	375				hypothetical protein
HHPGNICE_00032	CDS	849			COG1307	DegV domain-containing protein
HHPGNICE_00033	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
HHPGNICE_00034	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
HHPGNICE_00035	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
HHPGNICE_00036	CDS	1185	fieF			Ferrous-iron efflux pump FieF
HHPGNICE_00037	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
HHPGNICE_00038	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
HHPGNICE_00039	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
HHPGNICE_00040	CDS	1596				hypothetical protein
HHPGNICE_00041	CDS	165				hypothetical protein
HHPGNICE_00042	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
HHPGNICE_00043	CDS	549				hypothetical protein
HHPGNICE_00044	CDS	432				hypothetical protein
HHPGNICE_00045	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
HHPGNICE_00046	CDS	366				hypothetical protein
HHPGNICE_00047	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
HHPGNICE_00048	CDS	291	rpsF		COG0360	30S ribosomal protein S6
HHPGNICE_00049	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
HHPGNICE_00050	CDS	240	rpsR		COG0238	30S ribosomal protein S18
HHPGNICE_00051	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
HHPGNICE_00052	CDS	360	yugI		COG1098	General stress protein 13
HHPGNICE_00053	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
HHPGNICE_00054	CDS	300				hypothetical protein
HHPGNICE_00055	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
HHPGNICE_00056	CDS	513				hypothetical protein
HHPGNICE_00057	CDS	519				hypothetical protein
HHPGNICE_00058	CDS	198				hypothetical protein
HHPGNICE_00059	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
HHPGNICE_00060	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
HHPGNICE_00061	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
