locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADMNKHGO_00001	CDS	1284	pyrP			Uracil permease
ADMNKHGO_00002	CDS	1572	ffh		COG0541	Signal recognition particle protein
ADMNKHGO_00003	CDS	333				hypothetical protein
ADMNKHGO_00004	CDS	378				hypothetical protein
ADMNKHGO_00005	CDS	1305				hypothetical protein
ADMNKHGO_00006	CDS	807		3.1.3.-		Putative phosphatase
ADMNKHGO_00007	tRNA	72				tRNA-Arg(cct)
ADMNKHGO_00008	CDS	348	rplS		COG0335	50S ribosomal protein L19
ADMNKHGO_00009	CDS	330	crcB_1		COG0239	Putative fluoride ion transporter CrcB
ADMNKHGO_00010	CDS	375	crcB_2			Putative fluoride ion transporter CrcB
ADMNKHGO_00011	CDS	267				hypothetical protein
ADMNKHGO_00012	CDS	444				Flavodoxin
ADMNKHGO_00013	CDS	936	nrnA	3.1.-.-	COG0618	putative bifunctional oligoribonuclease and PAP phosphatase NrnA
ADMNKHGO_00014	CDS	243	rpmE2		COG0254	50S ribosomal protein L31 type B
ADMNKHGO_00015	CDS	219				hypothetical protein
ADMNKHGO_00016	CDS	252				IS630 family transposase ISSpn2
ADMNKHGO_00017	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
ADMNKHGO_00018	CDS	171				hypothetical protein
ADMNKHGO_00019	CDS	447	hlyB_1		COG2274	Alpha-hemolysin translocation ATP-binding protein HlyB
ADMNKHGO_00020	CDS	348			COG3039	IS5 family transposase IS1381
ADMNKHGO_00021	CDS	399			COG3039	IS5 family transposase ISSpn7
ADMNKHGO_00022	CDS	159				hypothetical protein
ADMNKHGO_00023	CDS	441				IS66 family transposase ISDeal1
ADMNKHGO_00024	CDS	324				hypothetical protein
ADMNKHGO_00025	CDS	417				hypothetical protein
ADMNKHGO_00026	CDS	612	ntpD			V-type sodium ATPase subunit D
ADMNKHGO_00027	CDS	1386	ntpB			V-type sodium ATPase subunit B
