locus_tag	ftype	length_bp	gene	EC_number	COG	product
JJGGOMAL_00001	CDS	870	gla		COG0580	Glycerol facilitator-aquaporin gla
JJGGOMAL_00002	CDS	522				hypothetical protein
JJGGOMAL_00003	CDS	1215				hypothetical protein
JJGGOMAL_00004	CDS	255				hypothetical protein
JJGGOMAL_00005	CDS	534				IS630 family transposase IS630-Spn1
JJGGOMAL_00006	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
JJGGOMAL_00007	CDS	348				hypothetical protein
JJGGOMAL_00008	CDS	837	artP		COG0834	Arginine-binding extracellular protein ArtP
JJGGOMAL_00009	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
JJGGOMAL_00010	CDS	642	yecS		COG0765	L-cystine transport system permease protein YecS
JJGGOMAL_00011	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
JJGGOMAL_00012	CDS	1167			COG0628	Putative transport protein
JJGGOMAL_00013	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
JJGGOMAL_00014	CDS	420	atpC		COG0355	ATP synthase epsilon chain
JJGGOMAL_00015	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
JJGGOMAL_00016	CDS	879	atpG		COG0224	ATP synthase gamma chain
JJGGOMAL_00017	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
JJGGOMAL_00018	CDS	537	atpH		COG0712	ATP synthase subunit delta
JJGGOMAL_00019	CDS	495	atpF		COG0711	ATP synthase subunit b
JJGGOMAL_00020	CDS	717	atpB		COG0356	ATP synthase subunit a
JJGGOMAL_00021	CDS	201	atpE_1		COG0636	ATP synthase subunit c
JJGGOMAL_00022	CDS	1008			COG2826	IS30 family transposase ISSpn8
JJGGOMAL_00023	CDS	429				hypothetical protein
JJGGOMAL_00024	CDS	483	greA			Transcription elongation factor GreA
JJGGOMAL_00025	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
JJGGOMAL_00026	CDS	495				hypothetical protein
JJGGOMAL_00027	CDS	465				hypothetical protein
JJGGOMAL_00028	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
JJGGOMAL_00029	CDS	639				hypothetical protein
JJGGOMAL_00030	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
JJGGOMAL_00031	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
JJGGOMAL_00032	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
JJGGOMAL_00033	CDS	1683	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
JJGGOMAL_00034	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
JJGGOMAL_00035	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
JJGGOMAL_00036	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
JJGGOMAL_00037	CDS	198				hypothetical protein
JJGGOMAL_00038	CDS	597				hypothetical protein
JJGGOMAL_00039	CDS	513				hypothetical protein
JJGGOMAL_00040	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
JJGGOMAL_00041	CDS	300				hypothetical protein
JJGGOMAL_00042	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
JJGGOMAL_00043	CDS	360	yugI		COG1098	General stress protein 13
JJGGOMAL_00044	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
JJGGOMAL_00045	CDS	240	rpsR		COG0238	30S ribosomal protein S18
JJGGOMAL_00046	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
JJGGOMAL_00047	CDS	291	rpsF		COG0360	30S ribosomal protein S6
JJGGOMAL_00048	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
JJGGOMAL_00049	CDS	366				hypothetical protein
JJGGOMAL_00050	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
JJGGOMAL_00051	CDS	432				hypothetical protein
JJGGOMAL_00052	CDS	192				hypothetical protein
JJGGOMAL_00053	CDS	294				hypothetical protein
JJGGOMAL_00054	CDS	5325				hypothetical protein
JJGGOMAL_00055	CDS	1485				Putative trans-acting regulator
JJGGOMAL_00056	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
JJGGOMAL_00057	CDS	165				hypothetical protein
JJGGOMAL_00058	CDS	1596				hypothetical protein
JJGGOMAL_00059	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
JJGGOMAL_00060	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
JJGGOMAL_00061	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
JJGGOMAL_00062	CDS	1185	fieF			Ferrous-iron efflux pump FieF
JJGGOMAL_00063	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
JJGGOMAL_00064	CDS	1200	cca	2.7.7.72		CCA-adding enzyme
JJGGOMAL_00065	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
JJGGOMAL_00066	CDS	849			COG1307	DegV domain-containing protein
JJGGOMAL_00067	CDS	375				hypothetical protein
JJGGOMAL_00068	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
JJGGOMAL_00069	CDS	780				hypothetical protein
JJGGOMAL_00070	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
JJGGOMAL_00071	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
JJGGOMAL_00072	CDS	912	whiA		COG1481	putative cell division protein WhiA
JJGGOMAL_00073	CDS	978			COG0391	Putative gluconeogenesis factor
JJGGOMAL_00074	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
JJGGOMAL_00075	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
JJGGOMAL_00076	CDS	588	engB		COG0218	putative GTP-binding protein EngB
JJGGOMAL_00077	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
JJGGOMAL_00078	CDS	171				hypothetical protein
JJGGOMAL_00079	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
JJGGOMAL_00080	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
JJGGOMAL_00081	CDS	1506				hypothetical protein
JJGGOMAL_00082	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
JJGGOMAL_00083	CDS	678	dnaD		COG3935	DNA replication protein DnaD
JJGGOMAL_00084	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
JJGGOMAL_00085	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
JJGGOMAL_00086	CDS	759	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
JJGGOMAL_00087	CDS	1131	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
JJGGOMAL_00088	tRNA	88				tRNA-Leu(aag)
JJGGOMAL_00089	CDS	576				hypothetical protein
JJGGOMAL_00090	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
JJGGOMAL_00091	CDS	1575	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
JJGGOMAL_00092	CDS	1227	yhjX			putative MFS-type transporter YhjX
JJGGOMAL_00093	CDS	1317	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
JJGGOMAL_00094	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
JJGGOMAL_00095	CDS	783	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
JJGGOMAL_00096	CDS	1083	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
JJGGOMAL_00097	CDS	834				IS3 family transposase ISSpn11
JJGGOMAL_00098	CDS	153				hypothetical protein
JJGGOMAL_00099	CDS	213				IS3 family transposase ISSpn11
JJGGOMAL_00100	CDS	462	hmpT		COG4720	Thiamine precursor transporter HmpT
JJGGOMAL_00101	CDS	774	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
JJGGOMAL_00102	CDS	750	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
JJGGOMAL_00103	CDS	1152				hypothetical protein
JJGGOMAL_00104	CDS	630				hypothetical protein
JJGGOMAL_00105	CDS	339				hypothetical protein
JJGGOMAL_00106	CDS	672	cmk	2.7.4.25	COG0283	Cytidylate kinase
JJGGOMAL_00107	CDS	477				hypothetical protein
JJGGOMAL_00108	CDS	213				hypothetical protein
JJGGOMAL_00109	CDS	972	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
JJGGOMAL_00110	CDS	1020	lnpD	5.1.3.2		UDP-glucose 4-epimerase
JJGGOMAL_00111	CDS	1104	thiO	1.4.3.19		Glycine oxidase
JJGGOMAL_00112	CDS	798			COG0327	GTP cyclohydrolase 1 type 2 
