locus_tag	ftype	length_bp	gene	EC_number	COG	product
DFCDMKEF_00001	CDS	429				hypothetical protein
DFCDMKEF_00002	CDS	483	greA			Transcription elongation factor GreA
DFCDMKEF_00003	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
DFCDMKEF_00004	CDS	495				hypothetical protein
DFCDMKEF_00005	CDS	465				hypothetical protein
DFCDMKEF_00006	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
DFCDMKEF_00007	CDS	618				hypothetical protein
DFCDMKEF_00008	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
DFCDMKEF_00009	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
DFCDMKEF_00010	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
DFCDMKEF_00011	CDS	546	lmrA_1	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
DFCDMKEF_00012	CDS	540	lmrA_2	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
DFCDMKEF_00013	CDS	294	lmrA_3	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
DFCDMKEF_00014	CDS	201				hypothetical protein
DFCDMKEF_00015	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
DFCDMKEF_00016	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
DFCDMKEF_00017	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
DFCDMKEF_00018	CDS	195				hypothetical protein
DFCDMKEF_00019	CDS	591				hypothetical protein
DFCDMKEF_00020	CDS	513				hypothetical protein
DFCDMKEF_00021	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
DFCDMKEF_00022	CDS	300				hypothetical protein
DFCDMKEF_00023	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
DFCDMKEF_00024	CDS	360	yugI		COG1098	General stress protein 13
DFCDMKEF_00025	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
DFCDMKEF_00026	CDS	240	rpsR		COG0238	30S ribosomal protein S18
DFCDMKEF_00027	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
DFCDMKEF_00028	CDS	291	rpsF		COG0360	30S ribosomal protein S6
DFCDMKEF_00029	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
DFCDMKEF_00030	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
DFCDMKEF_00031	CDS	432				hypothetical protein
DFCDMKEF_00032	CDS	549				hypothetical protein
DFCDMKEF_00033	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
DFCDMKEF_00034	CDS	165				hypothetical protein
DFCDMKEF_00035	CDS	1596				hypothetical protein
DFCDMKEF_00036	CDS	411	def_1	3.5.1.88		Peptide deformylase
DFCDMKEF_00037	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
DFCDMKEF_00038	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
DFCDMKEF_00039	CDS	1185	fieF			Ferrous-iron efflux pump FieF
DFCDMKEF_00040	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
DFCDMKEF_00041	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
DFCDMKEF_00042	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
DFCDMKEF_00043	CDS	849			COG1307	DegV domain-containing protein
DFCDMKEF_00044	CDS	375				hypothetical protein
DFCDMKEF_00045	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
DFCDMKEF_00046	CDS	780				hypothetical protein
