locus_tag	ftype	length_bp	gene	EC_number	COG	product
MJIIAAFK_00001	CDS	1173	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
MJIIAAFK_00002	CDS	1275	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
MJIIAAFK_00003	CDS	966	degA_1		COG1609	HTH-type transcriptional regulator DegA
MJIIAAFK_00004	CDS	1455	scrB	3.2.1.26		Sucrose-6-phosphate hydrolase
MJIIAAFK_00005	CDS	1884				hypothetical protein
MJIIAAFK_00006	CDS	888	gmuE	2.7.1.4	COG1940	Putative fructokinase
MJIIAAFK_00007	CDS	618				hypothetical protein
MJIIAAFK_00008	CDS	894		7.6.2.-	COG1131	Multidrug efflux system ATP-binding protein
MJIIAAFK_00009	CDS	1200	yhaP		COG1668	putative protein YhaP
MJIIAAFK_00010	CDS	768				hypothetical protein
MJIIAAFK_00011	CDS	696	skfE	7.3.2.3	COG1131	SkfA peptide export ATP-binding protein SkfE
MJIIAAFK_00012	CDS	366	ytrA		COG1725	HTH-type transcriptional repressor YtrA
MJIIAAFK_00013	CDS	474	nrdR		COG1327	Transcriptional repressor NrdR
MJIIAAFK_00014	CDS	1170				hypothetical protein
MJIIAAFK_00015	CDS	897	dnaI		COG1484	Primosomal protein DnaI
MJIIAAFK_00016	CDS	714	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
MJIIAAFK_00017	CDS	1311	der		COG1160	GTPase Der
MJIIAAFK_00018	CDS	336				hypothetical protein
MJIIAAFK_00019	CDS	336				hypothetical protein
MJIIAAFK_00020	CDS	792				hypothetical protein
MJIIAAFK_00021	CDS	642				hypothetical protein
MJIIAAFK_00022	CDS	651	bcrA_1			Bacitracin transport ATP-binding protein BcrA
MJIIAAFK_00023	CDS	288				hypothetical protein
MJIIAAFK_00024	CDS	2514	secA		COG0653	Protein translocase subunit SecA
MJIIAAFK_00025	CDS	1032	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
MJIIAAFK_00026	CDS	1032	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
MJIIAAFK_00027	CDS	369	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
MJIIAAFK_00028	CDS	1104	alr	5.1.1.1	COG0787	Alanine racemase
MJIIAAFK_00029	CDS	2016	recG	3.6.4.12		ATP-dependent DNA helicase RecG
MJIIAAFK_00030	CDS	981	axeA	3.1.1.41	COG3458	Cephalosporin-C deacetylase
MJIIAAFK_00031	CDS	228				hypothetical protein
MJIIAAFK_00032	CDS	2898	nanA_1	3.2.1.18	COG4409	Sialidase A
MJIIAAFK_00033	CDS	96				hypothetical protein
MJIIAAFK_00034	CDS	453				hypothetical protein
MJIIAAFK_00035	CDS	1338				hypothetical protein
MJIIAAFK_00036	CDS	885	ycjO		COG1175	Inner membrane ABC transporter permease protein YcjO
MJIIAAFK_00037	CDS	834	ycjP		COG0395	Inner membrane ABC transporter permease protein YcjP
MJIIAAFK_00038	CDS	2094	nanB_1	3.2.1.18	COG4409	Sialidase B
MJIIAAFK_00039	CDS	1104	yjhC_1	1.-.-.-	COG0673	putative oxidoreductase YjhC
MJIIAAFK_00040	CDS	699	nanE_1	5.1.3.9	COG3010	Putative N-acetylmannosamine-6-phosphate 2-epimerase
