locus_tag	ftype	length_bp	gene	EC_number	COG	product
JIGCKLGD_00001	CDS	1347	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
JIGCKLGD_00002	CDS	3579				hypothetical protein
JIGCKLGD_00003	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
JIGCKLGD_00004	CDS	501	rplJ			50S ribosomal protein L10
JIGCKLGD_00005	CDS	1260	mtaD	3.5.4.28	COG0402	5-methylthioadenosine/S-adenosylhomocysteine deaminase
JIGCKLGD_00006	CDS	1749		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
JIGCKLGD_00007	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
JIGCKLGD_00008	CDS	939	msrAB1		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB 1
JIGCKLGD_00009	CDS	870	thrB	2.7.1.39	COG0083	Homoserine kinase
JIGCKLGD_00010	CDS	1287	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
JIGCKLGD_00011	CDS	738	mecA		COG4862	Adapter protein MecA
JIGCKLGD_00012	CDS	1035				hypothetical protein
JIGCKLGD_00013	CDS	1434				hypothetical protein
JIGCKLGD_00014	CDS	987	glyG			Glycosyltransferase GlyG
JIGCKLGD_00015	CDS	1104	pglJ	2.4.1.291	COG0438	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase
JIGCKLGD_00016	CDS	837				hypothetical protein
JIGCKLGD_00017	CDS	1275	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
JIGCKLGD_00018	CDS	849	pheA			Bifunctional chorismate mutase/prephenate dehydratase
JIGCKLGD_00019	CDS	477	aroL	2.7.1.71		Shikimate kinase 2
JIGCKLGD_00020	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
JIGCKLGD_00021	CDS	339				hypothetical protein
JIGCKLGD_00022	CDS	1104				hypothetical protein
JIGCKLGD_00023	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
JIGCKLGD_00024	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
JIGCKLGD_00025	CDS	855	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
JIGCKLGD_00026	CDS	678	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
JIGCKLGD_00027	CDS	1164	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
JIGCKLGD_00028	CDS	675				hypothetical protein
JIGCKLGD_00029	CDS	930				hypothetical protein
JIGCKLGD_00030	CDS	750	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
JIGCKLGD_00031	CDS	1455	amyS	3.2.1.1		Alpha-amylase
JIGCKLGD_00032	CDS	2619	alaS	6.1.1.7		Alanine--tRNA ligase
JIGCKLGD_00033	CDS	486				hypothetical protein
JIGCKLGD_00034	CDS	1071	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
JIGCKLGD_00035	CDS	774	ydcV			Inner membrane ABC transporter permease protein YdcV
JIGCKLGD_00036	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
JIGCKLGD_00037	CDS	1158	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
JIGCKLGD_00038	CDS	906	murB	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
JIGCKLGD_00039	CDS	753				hypothetical protein
JIGCKLGD_00040	CDS	672	aldC	4.1.1.5	COG3527	Alpha-acetolactate decarboxylase
JIGCKLGD_00041	CDS	1272	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
JIGCKLGD_00042	CDS	816	glnH_1		COG0834	Glutamine-binding periplasmic protein
JIGCKLGD_00043	CDS	783				hypothetical protein
JIGCKLGD_00044	CDS	528				ISL3 family transposase ISSpn14
JIGCKLGD_00045	CDS	654	phoU_1		COG0704	Phosphate-specific transport system accessory protein PhoU 
JIGCKLGD_00046	CDS	759	pstB3_1	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
JIGCKLGD_00047	CDS	804	pstB3_2	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB 3
JIGCKLGD_00048	CDS	885				hypothetical protein
JIGCKLGD_00049	CDS	918	pstC		COG0573	Phosphate transport system permease protein PstC
JIGCKLGD_00050	CDS	879	pstS1		COG0226	Phosphate-binding protein PstS 1
JIGCKLGD_00051	CDS	114				hypothetical protein
JIGCKLGD_00052	CDS	1305	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
JIGCKLGD_00053	CDS	774	suhB	3.1.3.11	COG0483	Fructose-1,6-bisphosphatase/inositol-1-monophosphatase
JIGCKLGD_00054	CDS	279				hypothetical protein
JIGCKLGD_00055	CDS	402	spxA_1		COG1393	Regulatory protein Spx
JIGCKLGD_00056	CDS	618				hypothetical protein
JIGCKLGD_00057	CDS	774	yutF	3.1.3.-	COG0647	Acid sugar phosphatase
JIGCKLGD_00058	CDS	738				hypothetical protein
JIGCKLGD_00059	CDS	1131	hemW		COG0635	Heme chaperone HemW
JIGCKLGD_00060	CDS	390				hypothetical protein
JIGCKLGD_00061	CDS	384				hypothetical protein
JIGCKLGD_00062	CDS	789	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
JIGCKLGD_00063	CDS	936	hprK	2.7.11.-	COG1493	HPr kinase/phosphorylase
JIGCKLGD_00064	CDS	177	rpsU		COG0828	30S ribosomal protein S21
JIGCKLGD_00065	CDS	708	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
JIGCKLGD_00066	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
JIGCKLGD_00067	CDS	390				hypothetical protein
JIGCKLGD_00068	CDS	102				hypothetical protein
JIGCKLGD_00069	CDS	552				hypothetical protein
JIGCKLGD_00070	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
JIGCKLGD_00071	CDS	1461	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
JIGCKLGD_00072	CDS	489				hypothetical protein
JIGCKLGD_00073	CDS	210				hypothetical protein
JIGCKLGD_00074	CDS	729				hypothetical protein
JIGCKLGD_00075	CDS	720	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JIGCKLGD_00076	CDS	663				hypothetical protein
JIGCKLGD_00077	CDS	1287				hypothetical protein
JIGCKLGD_00078	CDS	183				hypothetical protein
JIGCKLGD_00079	CDS	189				hypothetical protein
JIGCKLGD_00080	CDS	1191				hypothetical protein
JIGCKLGD_00081	CDS	993	rhaR			HTH-type transcriptional activator RhaR
JIGCKLGD_00082	CDS	1755	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
JIGCKLGD_00083	CDS	1722			COG1132	putative ABC transporter ATP-binding protein
JIGCKLGD_00084	CDS	585				hypothetical protein
JIGCKLGD_00085	CDS	696	ecfT_1			Energy-coupling factor transporter transmembrane protein EcfT
JIGCKLGD_00086	CDS	1365	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
JIGCKLGD_00087	CDS	159				hypothetical protein
JIGCKLGD_00088	CDS	246				hypothetical protein
JIGCKLGD_00089	CDS	312				hypothetical protein
JIGCKLGD_00090	CDS	267				IS630 family transposase ISSpn2
JIGCKLGD_00091	CDS	324				hypothetical protein
JIGCKLGD_00092	CDS	186				hypothetical protein
JIGCKLGD_00093	CDS	1563	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
JIGCKLGD_00094	CDS	699	nagR		COG2188	HTH-type transcriptional repressor NagR
JIGCKLGD_00095	CDS	897	yicL_1		COG0697	putative inner membrane transporter YicL
JIGCKLGD_00096	CDS	936	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
JIGCKLGD_00097	CDS	726				hypothetical protein
JIGCKLGD_00098	CDS	636				hypothetical protein
