locus_tag	ftype	length_bp	gene	EC_number	COG	product
MEOGFBJL_00001	CDS	150				hypothetical protein
MEOGFBJL_00002	CDS	1347	glnA	6.3.1.2	COG0174	Glutamine synthetase
MEOGFBJL_00003	CDS	357	glnR		COG0789	HTH-type transcriptional regulator GlnR
MEOGFBJL_00004	CDS	528				hypothetical protein
MEOGFBJL_00005	CDS	1197	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
MEOGFBJL_00006	CDS	4911				hypothetical protein
MEOGFBJL_00007	CDS	1632				hypothetical protein
MEOGFBJL_00008	CDS	1608	pyrG	6.3.4.2	COG0504	CTP synthase
MEOGFBJL_00009	CDS	588	rpoE			putative DNA-directed RNA polymerase subunit delta
MEOGFBJL_00010	CDS	450				hypothetical protein
MEOGFBJL_00011	CDS	390				hypothetical protein
MEOGFBJL_00012	CDS	651				hypothetical protein
MEOGFBJL_00013	CDS	564	ribU		COG3601	Riboflavin transporter RibU
MEOGFBJL_00014	CDS	504	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
MEOGFBJL_00015	CDS	831	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
MEOGFBJL_00016	CDS	1683	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
MEOGFBJL_00017	CDS	258				hypothetical protein
MEOGFBJL_00018	CDS	549				hypothetical protein
MEOGFBJL_00019	CDS	849	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
MEOGFBJL_00020	CDS	1350	trkA		COG0569	Trk system potassium uptake protein TrkA
MEOGFBJL_00021	CDS	1440	trkG		COG0168	Trk system potassium uptake protein TrkG
MEOGFBJL_00022	CDS	225	lacE_1			PTS system lactose-specific EIICB component
MEOGFBJL_00023	CDS	189				hypothetical protein
MEOGFBJL_00024	CDS	171				hypothetical protein
MEOGFBJL_00025	CDS	285				hypothetical protein
MEOGFBJL_00026	CDS	219				hypothetical protein
MEOGFBJL_00027	CDS	2325	pflB	2.3.1.54		Formate acetyltransferase
MEOGFBJL_00028	CDS	1062	dinB	2.7.7.7	COG0389	DNA polymerase IV
MEOGFBJL_00029	CDS	846	uppP	3.6.1.27		Undecaprenyl-diphosphatase
MEOGFBJL_00030	CDS	972				hypothetical protein
MEOGFBJL_00031	CDS	1890				hypothetical protein
MEOGFBJL_00032	CDS	1566				hypothetical protein
MEOGFBJL_00033	CDS	741	glnQ_1			Glutamine transport ATP-binding protein GlnQ
MEOGFBJL_00034	CDS	216				hypothetical protein
MEOGFBJL_00035	CDS	1251	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
MEOGFBJL_00036	CDS	357				hypothetical protein
MEOGFBJL_00037	CDS	237				hypothetical protein
MEOGFBJL_00038	CDS	1023	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MEOGFBJL_00039	CDS	477	ilvH	2.2.1.6	COG0440	Putative acetolactate synthase small subunit
MEOGFBJL_00040	CDS	1701	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
MEOGFBJL_00041	CDS	1668				putative protein
MEOGFBJL_00042	CDS	366				putative protein
