locus_tag	ftype	length_bp	gene	EC_number	COG	product
DOFMBNDK_00001	CDS	1608	dexB	3.2.1.70	COG0366	Glucan 1,6-alpha-glucosidase
DOFMBNDK_00002	CDS	1485				hypothetical protein
DOFMBNDK_00003	CDS	483	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
DOFMBNDK_00004	CDS	2106	clpC_1			putative ATP-dependent Clp protease ATP-binding subunit
DOFMBNDK_00005	CDS	981	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
DOFMBNDK_00006	CDS	2253	pbpX		COG0768	Penicillin-binding protein 2X
DOFMBNDK_00007	CDS	318	ftsL			Cell division protein FtsL
DOFMBNDK_00008	CDS	951	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
DOFMBNDK_00009	CDS	195				hypothetical protein
DOFMBNDK_00010	CDS	543				hypothetical protein
DOFMBNDK_00011	CDS	327				hypothetical protein
DOFMBNDK_00012	CDS	579				hypothetical protein
DOFMBNDK_00013	CDS	1002	kdgR		COG1609	HTH-type transcriptional regulator KdgR
DOFMBNDK_00014	CDS	1902				hypothetical protein
DOFMBNDK_00015	CDS	294				hypothetical protein
DOFMBNDK_00016	CDS	819	manZ_1		COG3716	PTS system mannose-specific EIID component
DOFMBNDK_00017	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
DOFMBNDK_00018	CDS	492	sorB_1	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
DOFMBNDK_00019	CDS	1191	ugl	3.2.1.180		Unsaturated chondroitin disaccharide hydrolase
DOFMBNDK_00020	CDS	435				hypothetical protein
DOFMBNDK_00021	CDS	816	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
DOFMBNDK_00022	CDS	642				hypothetical protein
DOFMBNDK_00023	CDS	1002	kdgK	2.7.1.45		2-dehydro-3-deoxygluconokinase
DOFMBNDK_00024	CDS	630	kdgA		COG0800	KHG/KDPG aldolase
DOFMBNDK_00025	CDS	204				IS200/IS605 family transposase ISStin10
