locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGIDBDPB_00001	CDS	870	gla		COG0580	Glycerol facilitator-aquaporin gla
MGIDBDPB_00002	CDS	522				hypothetical protein
MGIDBDPB_00003	CDS	1107				hypothetical protein
MGIDBDPB_00004	CDS	255				hypothetical protein
MGIDBDPB_00005	CDS	534				IS630 family transposase IS630-Spn1
MGIDBDPB_00006	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
MGIDBDPB_00007	CDS	348				hypothetical protein
MGIDBDPB_00008	CDS	837	artP		COG0834	Arginine-binding extracellular protein ArtP
MGIDBDPB_00009	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
MGIDBDPB_00010	CDS	642	yecS		COG0765	L-cystine transport system permease protein YecS
MGIDBDPB_00011	CDS	1230	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
MGIDBDPB_00012	CDS	1167			COG0628	Putative transport protein
MGIDBDPB_00013	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
MGIDBDPB_00014	CDS	420	atpC		COG0355	ATP synthase epsilon chain
MGIDBDPB_00015	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
MGIDBDPB_00016	CDS	879	atpG		COG0224	ATP synthase gamma chain
MGIDBDPB_00017	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
MGIDBDPB_00018	CDS	537	atpH		COG0712	ATP synthase subunit delta
MGIDBDPB_00019	CDS	495	atpF		COG0711	ATP synthase subunit b
MGIDBDPB_00020	CDS	717	atpB		COG0356	ATP synthase subunit a
MGIDBDPB_00021	CDS	201	atpE_1		COG0636	ATP synthase subunit c
MGIDBDPB_00022	CDS	1008			COG2826	IS30 family transposase ISSpn8
MGIDBDPB_00023	CDS	429				hypothetical protein
MGIDBDPB_00024	CDS	483	greA			Transcription elongation factor GreA
MGIDBDPB_00025	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
MGIDBDPB_00026	CDS	495				hypothetical protein
MGIDBDPB_00027	CDS	465				hypothetical protein
MGIDBDPB_00028	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
MGIDBDPB_00029	CDS	639				hypothetical protein
MGIDBDPB_00030	CDS	3099	rapA	3.6.4.-		RNA polymerase-associated protein RapA
MGIDBDPB_00031	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
MGIDBDPB_00032	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
MGIDBDPB_00033	CDS	1683	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
MGIDBDPB_00034	CDS	1959	sarA_1		COG4166	Oligopeptide-binding protein SarA
MGIDBDPB_00035	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
MGIDBDPB_00036	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
MGIDBDPB_00037	CDS	198				hypothetical protein
MGIDBDPB_00038	CDS	597				hypothetical protein
MGIDBDPB_00039	CDS	513				hypothetical protein
MGIDBDPB_00040	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
MGIDBDPB_00041	CDS	300				hypothetical protein
MGIDBDPB_00042	CDS	750	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
MGIDBDPB_00043	CDS	360	yugI		COG1098	General stress protein 13
MGIDBDPB_00044	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
MGIDBDPB_00045	CDS	240	rpsR		COG0238	30S ribosomal protein S18
MGIDBDPB_00046	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
MGIDBDPB_00047	CDS	291	rpsF		COG0360	30S ribosomal protein S6
MGIDBDPB_00048	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
MGIDBDPB_00049	CDS	366				hypothetical protein
MGIDBDPB_00050	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
MGIDBDPB_00051	CDS	432				hypothetical protein
MGIDBDPB_00052	CDS	549				hypothetical protein
MGIDBDPB_00053	CDS	5325				hypothetical protein
MGIDBDPB_00054	CDS	1485				Putative trans-acting regulator
MGIDBDPB_00055	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
MGIDBDPB_00056	CDS	165				hypothetical protein
MGIDBDPB_00057	CDS	1596				hypothetical protein
MGIDBDPB_00058	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
MGIDBDPB_00059	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
MGIDBDPB_00060	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
MGIDBDPB_00061	CDS	1185	fieF			Ferrous-iron efflux pump FieF
MGIDBDPB_00062	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
MGIDBDPB_00063	CDS	1200	cca	2.7.7.72		CCA-adding enzyme
MGIDBDPB_00064	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
MGIDBDPB_00065	CDS	849			COG1307	DegV domain-containing protein
MGIDBDPB_00066	CDS	375				hypothetical protein
MGIDBDPB_00067	CDS	1353	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
MGIDBDPB_00068	CDS	780				hypothetical protein
MGIDBDPB_00069	CDS	858	cdaA	2.7.7.85	COG1624	Cyclic di-AMP synthase CdaA
MGIDBDPB_00070	CDS	969	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
MGIDBDPB_00071	CDS	912	whiA		COG1481	putative cell division protein WhiA
MGIDBDPB_00072	CDS	978			COG0391	Putative gluconeogenesis factor
MGIDBDPB_00073	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
MGIDBDPB_00074	CDS	381	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
MGIDBDPB_00075	CDS	588	engB		COG0218	putative GTP-binding protein EngB
MGIDBDPB_00076	CDS	1233	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
MGIDBDPB_00077	CDS	171				hypothetical protein
MGIDBDPB_00078	CDS	507	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
MGIDBDPB_00079	CDS	519	dps	1.16.-.-	COG0783	DNA protection during starvation protein
MGIDBDPB_00080	CDS	1506				hypothetical protein
MGIDBDPB_00081	CDS	759	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
MGIDBDPB_00082	CDS	678	dnaD		COG3935	DNA replication protein DnaD
MGIDBDPB_00083	CDS	945	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
MGIDBDPB_00084	CDS	513	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
MGIDBDPB_00085	CDS	759	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
MGIDBDPB_00086	CDS	1131	msmX	7.5.2.-	COG3839	Oligosaccharides import ATP-binding protein MsmX
MGIDBDPB_00087	tRNA	88				tRNA-Leu(aag)
MGIDBDPB_00088	CDS	576				hypothetical protein
MGIDBDPB_00089	CDS	789	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
MGIDBDPB_00090	CDS	1575	cshA	3.6.4.13	COG0513	ATP-dependent RNA helicase CshA
MGIDBDPB_00091	CDS	1227	yhjX			putative MFS-type transporter YhjX
MGIDBDPB_00092	CDS	1317	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
MGIDBDPB_00093	CDS	1344	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
MGIDBDPB_00094	CDS	783	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
MGIDBDPB_00095	CDS	1083	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
MGIDBDPB_00096	CDS	834				IS3 family transposase ISSpn11
MGIDBDPB_00097	CDS	168				hypothetical protein
MGIDBDPB_00098	CDS	213				IS3 family transposase ISSpn11
MGIDBDPB_00099	CDS	462	hmpT		COG4720	Thiamine precursor transporter HmpT
MGIDBDPB_00100	CDS	774	pdxK	2.7.1.35	COG0351	Pyridoxine kinase
MGIDBDPB_00101	CDS	750	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
MGIDBDPB_00102	CDS	1152				hypothetical protein
MGIDBDPB_00103	CDS	630				hypothetical protein
MGIDBDPB_00104	CDS	339				hypothetical protein
MGIDBDPB_00105	CDS	672	cmk	2.7.4.25	COG0283	Cytidylate kinase
MGIDBDPB_00106	CDS	477				hypothetical protein
MGIDBDPB_00107	CDS	213				hypothetical protein
MGIDBDPB_00108	CDS	972	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
MGIDBDPB_00109	CDS	1020	lnpD	5.1.3.2		UDP-glucose 4-epimerase
MGIDBDPB_00110	CDS	1104	thiO	1.4.3.19		Glycine oxidase
MGIDBDPB_00111	CDS	798			COG0327	GTP cyclohydrolase 1 type 2 
MGIDBDPB_00112	CDS	678	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
MGIDBDPB_00113	CDS	2337	ctpE	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
MGIDBDPB_00114	CDS	750	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
MGIDBDPB_00115	CDS	615				hypothetical protein
MGIDBDPB_00116	CDS	270	rpsO		COG0184	30S ribosomal protein S15
MGIDBDPB_00117	CDS	630				hypothetical protein
MGIDBDPB_00118	CDS	201				hypothetical protein
MGIDBDPB_00119	CDS	324				hypothetical protein
MGIDBDPB_00120	CDS	1944	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
MGIDBDPB_00121	CDS	975	graS	2.7.13.3	COG0642	Sensor histidine kinase GraS
MGIDBDPB_00122	CDS	678	graR		COG0745	Response regulator protein GraR
MGIDBDPB_00123	CDS	1074				hypothetical protein
MGIDBDPB_00124	CDS	303				hypothetical protein
MGIDBDPB_00125	CDS	438	ywnA		COG1959	Putative HTH-type transcriptional regulator YwnA
MGIDBDPB_00126	CDS	843				hypothetical protein
MGIDBDPB_00127	CDS	651	dtxR			Diphtheria toxin repressor
MGIDBDPB_00128	CDS	519				hypothetical protein
MGIDBDPB_00129	CDS	279				hypothetical protein
MGIDBDPB_00130	CDS	114				hypothetical protein
MGIDBDPB_00131	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
MGIDBDPB_00132	CDS	2223	relA			Bifunctional (p)ppGpp synthase/hydrolase RelA
MGIDBDPB_00133	CDS	630		3.-.-.-		putative metallo-hydrolase
MGIDBDPB_00134	CDS	1893	pepO	3.4.24.-	COG3590	Neutral endopeptidase
MGIDBDPB_00135	CDS	723	scaC	7.2.2.5	COG1121	Manganese import ATP-binding protein ScaC
MGIDBDPB_00136	CDS	849	mntB			Manganese transport system membrane protein MntB
MGIDBDPB_00137	CDS	930	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
MGIDBDPB_00138	CDS	492	tpx	1.11.1.15	COG2077	Thiol peroxidase
MGIDBDPB_00139	CDS	2709				hypothetical protein
MGIDBDPB_00140	CDS	702			COG1136	putative ABC transporter ATP-binding protein
MGIDBDPB_00141	CDS	2412				hypothetical protein
MGIDBDPB_00142	CDS	693	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
MGIDBDPB_00143	CDS	381				hypothetical protein
MGIDBDPB_00144	CDS	2793	ileS	6.1.1.5		Isoleucine--tRNA ligase
MGIDBDPB_00145	CDS	789	divIVA		COG3599	Cell division protein DivIVA
MGIDBDPB_00146	CDS	786				hypothetical protein
MGIDBDPB_00147	CDS	264				hypothetical protein
MGIDBDPB_00148	CDS	540	sepF		COG1799	Cell division protein SepF
MGIDBDPB_00149	CDS	672			COG0325	Pyridoxal phosphate homeostasis protein
MGIDBDPB_00150	CDS	1260	ftsZ		COG0206	Cell division protein FtsZ
MGIDBDPB_00151	CDS	1374	ftsA		COG0849	Cell division protein FtsA
MGIDBDPB_00152	CDS	705				hypothetical protein
MGIDBDPB_00153	CDS	612				hypothetical protein
MGIDBDPB_00154	CDS	1374	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
